Site Name,Site Category,Site Subcategory,County,State,Provider #,Address,City,ZIP,Telephone #,# Direct Care Prsnl. FTEs,Total FTEs,# of Physician FTEs,# of Physician Assistant FTEs,# of Nurse Practitioner FTEs,# of Other Prsnl. FTEs,# of Beds,# of Certified Beds,# of SNF Beds Medicaid,# of SNF Beds,# of SNF Beds Medicare,# of Operating Rooms,# of IC/MR Beds,Is Federally Funded Health Center Site,Is Hospital-Based Site,Type,Is Rural Health Clinic Site,Approved RHC Provider #,State County FIPS Code,HHS Region,U.S. Senator Name (1),U.S. Senator Name (2),U.S. Congressional Representative Name,In U.S./Mex. Border 100 KM Area,In U.S./Mex. Border County,Rural Status,Longitude,Latitude
EAST BAY COMMUNITY ACTION PROGRAM,Federally Qualified Health Center,Federally Qualified Health Center,Bristol County,RI,411849,2 Old County Rd,Barrington,02806-1600,401-437-1000,,,,,,,,,,,,,,No,Not Applicable,Not Applicable,No,,44001,Region 1,Jack Reed,Sheldon Whitehouse,David N. Cicilline,No,No,No,-71.32670227,41.75503698
EAST BAY COMMUNITY ACTION PROGRAM,Federally Qualified Health Center,Federally Qualified Health Center,Newport County,RI,411846,6 John H Chafee Blvd,Newport,02840-1034,401-848-2160,,,,,,,,,,,,,,No,Not Applicable,Not Applicable,No,,44005,Region 1,Jack Reed,Sheldon Whitehouse,David N. Cicilline,No,No,No,-71.31266098,41.51645256
EAST BAY COMMUNITY ACTION PROGRAM,Federally Qualified Health Center,Federally Qualified Health Center,Newport County,RI,411854,8 John H Chafee Blvd,Newport,02840-1034,401-437-1000,,,,,,,,,,,,,,No,Not Applicable,Not Applicable,No,,44005,Region 1,Jack Reed,Sheldon Whitehouse,David N. Cicilline,No,No,No,-71.31266098,41.51645256
EAST BAY COMMUNITY ACTION PROGRAM,Federally Qualified Health Center,Federally Qualified Health Center,Providence County,RI,411850,610 Wampanoag Trl,Riverside,02915-1504,401-437-1000,,,,,,,,,,,,,,No,Not Applicable,Not Applicable,No,,44007,Region 1,Jack Reed,Sheldon Whitehouse,David N. Cicilline,No,No,No,-71.33665234,41.79110288
EAST BAY COMMUNITY ACTION PROGRAM JAMES SILVA MEM,Federally Qualified Health Center,Federally Qualified Health Center,Newport County,RI,411833,1048 Stafford Rd,Tiverton,02878-2507,401-848-6697,,,,,,,,,,,,,,No,Not Applicable,Not Applicable,No,,44005,Region 1,Jack Reed,Sheldon Whitehouse,David N. Cicilline,No,No,No,-71.14714555,41.63427949
EAST BAY COMMUNITY ACTION PROGRAM-EAST PROVIDENCE,Federally Qualified Health Center,Federally Qualified Health Center,Providence County,RI,411803,100 Bullocks Point Ave,Riverside,02915-5351,401-437-1008,,,,,,,,,,,,,,No,Not Applicable,Not Applicable,No,,44007,Region 1,Jack Reed,Sheldon Whitehouse,David N. Cicilline,No,No,No,-71.36345993,41.77520966
"CAPITOL HOME CARE NETWORK, INC",Home Health Agency,Home Health Agency,Providence County,RI,417045,400 Reservoir Ave,Providence,02907-3565,401-941-0002,,,,,,0,,,,,,,,Not Applicable,Not Applicable,Other,Not Applicable,Not Applicable,44007,Region 1,Jack Reed,Sheldon Whitehouse,David N. Cicilline,No,No,No,-71.43285102,41.78719101
JOHN CLARKE RETIREMENT CENTER THE,Skilled Nursing Facilities/Nursing Facility (Dually Certified),Title 18/19,Newport County,RI,415076,600 Valley Rd,Middletown,02842-7029,401-846-0743,,,,,,,60.00,60.00,0.00,60.00,0.00,,,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,44005,Region 1,Jack Reed,Sheldon Whitehouse,David N. Cicilline,No,No,No,-71.28900885,41.50406226
KENT REGENCY CENTER,Skilled Nursing Facilities/Nursing Facility (Dually Certified),Title 18/19,Kent County,RI,415009,660 Commonwealth Ave,Warwick,02886-2707,401-739-4241,,,,,,,153.00,153.00,0.00,153.00,0.00,,,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,44003,Region 1,Jack Reed,Sheldon Whitehouse,Seth Magaziner,No,No,No,-71.47951266,41.70156907
EVERETT C WILCOX CENTER FOR FAMILY HEALTH CARE,Federally Qualified Health Center,Federally Qualified Health Center,Kent County,RI,411836,226 Buttonwoods Ave,Warwick,02886-7541,401-732-9090,,,,,,,,,,,,,,No,Not Applicable,Not Applicable,No,,44003,Region 1,Jack Reed,Sheldon Whitehouse,Seth Magaziner,No,No,No,-71.43005021,41.70049765
TAVARES PEDIATRIC CENTER,Intermediate Care Facility (Mentally Retarded),Title 19 Only,Providence County,RI,41G085,101 Plain St,Providence,02903-4828,401-272-7127,15.32,42.65,,,,,30.00,30.00,,,,,30.00,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,44007,Region 1,Jack Reed,Sheldon Whitehouse,Seth Magaziner,No,No,No,-71.41243178,41.81356668
CATHLEEN NAUGHTON ASSOCIATES,Home Health Agency,Home Health Agency,Kent County,RI,417038,2350 Post Rd STE 101,Warwick,02886-2222,401-773-7401,,,,,,0,,,,,,,,Not Applicable,Not Applicable,Visiting Nurse Association,Not Applicable,Not Applicable,44003,Region 1,Jack Reed,Sheldon Whitehouse,Seth Magaziner,No,No,No,-71.44383492,41.71802694
"CEDAR HOME HEALTH, LLC",Home Health Agency,Home Health Agency,Providence County,RI,417063,125 Scituate Ave,Cranston,02921-1838,401-944-5162,,,,,,0.2,,,,,,,,Not Applicable,Not Applicable,Other,Not Applicable,Not Applicable,44007,Region 1,Jack Reed,Sheldon Whitehouse,Seth Magaziner,No,No,No,-71.47980854,41.77886987
"THE ENT CENTER OF RI, LLC",Ambulatory Surgical Center,Ambulatory Surgical Center,Kent County,RI,41C0001012,55 Lambert Lind Hwy,Warwick,02886-1074,401-737-4711,,,,,,,,,,,,5.00,,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,44003,Region 1,Jack Reed,Sheldon Whitehouse,Seth Magaziner,No,No,No,-71.47694419,41.72991511
FAMILY HEALTH SERVICES,Federally Qualified Health Center,Federally Qualified Health Center,Providence County,RI,411810,1090 Cranston St,Cranston,02920-7323,401-943-1981,,,,,,,,,,,,,,No,Not Applicable,Not Applicable,No,,44007,Region 1,Jack Reed,Sheldon Whitehouse,Seth Magaziner,No,No,No,-71.44879441,41.79680811
FAMILY HEALTH SERVICES OF COVENTRY,Federally Qualified Health Center,Federally Qualified Health Center,Kent County,RI,411835,191 Macarthur Blvd,Coventry,02816-7244,401-732-9090,,,,,,,,,,,,,,No,Not Applicable,Not Applicable,No,,44003,Region 1,Jack Reed,Sheldon Whitehouse,Seth Magaziner,No,No,No,-71.53893239,41.69733529
UNIVERSITY ORTHOPEDICS EAST BAY SURGERY CENTER,Ambulatory Surgical Center,Ambulatory Surgical Center,Providence County,RI,41C0001017,1 Kettle Point Ave,East Providence,02914-5375,401-457-1504,,,,,,,,,,,,9.00,,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,44007,Region 1,Jack Reed,Sheldon Whitehouse,David N. Cicilline,No,No,No,-71.37566783,41.79629061
LINCOLNWOOD REHABILITATION AND HEALTHCARE CENTER,Skilled Nursing Facilities/Nursing Facility (Dually Certified),Title 18/19,Providence County,RI,415035,610 Smithfield Rd,North Providence,02904-3820,401-353-6300,,,,,,,200.00,200.00,0.00,200.00,0.00,,,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,44007,Region 1,Jack Reed,Sheldon Whitehouse,David N. Cicilline,No,No,No,-71.46757314,41.86508575
LINN HEALTH AND REHABILITATION,Skilled Nursing Facilities/Nursing Facility (Dually Certified),Title 18/19,Providence County,RI,415090,30 Alexander Ave,East Providence,02914-2309,401-438-7210,,,,,,,84.00,84.00,0.00,84.00,0.00,,,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,44007,Region 1,Jack Reed,Sheldon Whitehouse,David N. Cicilline,No,No,No,-71.36460741,41.82189766
UROLOGICAL SPECIALISTS OF NEW ENGLAND,Ambulatory Surgical Center,Ambulatory Surgical Center,Kent County,RI,41C0001007,207 Quaker Ln FL 1,West Warwick,02893-2179,401-828-7110,,,,,,,,,,,,2.00,,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,44003,Region 1,Jack Reed,Sheldon Whitehouse,Seth Magaziner,No,No,No,-71.50125045,41.69093051
DIALYSIS CENTER OF EAST PROVIDENCE,End Stage Renal Disease Facility,End Stage Renal Disease  ,Providence County,RI,412512,318 Waterman Ave,East Providence,02914-3525,401-435-5200,,,,,,3,,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,44007,Region 1,Jack Reed,Sheldon Whitehouse,David N. Cicilline,No,No,No,-71.3686723,41.82058359
DIALYSIS CENTER OF JOHNSTON,End Stage Renal Disease Facility,End Stage Renal Disease  ,Providence County,RI,412514,1526 Atwood Ave,Johnston,02919-3289,401-521-0400,,,,,,0,,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,44007,Region 1,Jack Reed,Sheldon Whitehouse,Seth Magaziner,No,No,No,-71.50021981,41.82823459
DIALYSIS CENTER OF PAWTUCKET,End Stage Renal Disease Facility,End Stage Renal Disease  ,Providence County,RI,412509,201 Armistice Blvd,Pawtucket,02860-3242,401-722-3313,,,,,,1,,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,44007,Region 1,Jack Reed,Sheldon Whitehouse,David N. Cicilline,No,No,No,-71.36847809,41.88002406
DIALYSIS CENTER OF PROVIDENCE,End Stage Renal Disease Facility,End Stage Renal Disease  ,Providence County,RI,412510,9 Plenty St,Providence,02907-1418,401-273-4898,,,,,,1,,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,44007,Region 1,Jack Reed,Sheldon Whitehouse,David N. Cicilline,No,No,No,-71.42067027,41.8072826
DIALYSIS CENTER OF RHODE ISLAND HOSPITAL,End Stage Renal Disease Facility,End Stage Renal Disease  ,Providence County,RI,413500,117 Chapman St,Providence,02905-5400,401-444-3275,,,,,,1.5,,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,44007,Region 1,Jack Reed,Sheldon Whitehouse,David N. Cicilline,No,No,No,-71.39788776,41.79319756
DIALYSIS CENTER OF RHODE ISLAND HOSPITAL,End Stage Renal Disease Facility,End Stage Renal Disease  ,Providence County,RI,413501,950 Warren Ave,East Providence,02914-1432,401-606-1002,,,,,,0,,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,44007,Region 1,Jack Reed,Sheldon Whitehouse,David N. Cicilline,No,No,No,-71.34551419,41.80787243
CONCORD HEALTH SERVICES,Home Health Agency,Home Health Agency,Providence County,RI,417049,30 Rolfe Sq,Cranston,02910-2802,401-725-8400,,,,,,0,,,,,,,,Not Applicable,Not Applicable,Visiting Nurse Association,Not Applicable,Not Applicable,44007,Region 1,Jack Reed,Sheldon Whitehouse,Seth Magaziner,No,No,No,-71.43609172,41.77787917
WEST RIVER ENDSCOPY,Ambulatory Surgical Center,Ambulatory Surgical Center,Providence County,RI,41C0001008,44 W River St,Providence,02904-2609,401-274-4800,,,,,,,,,,,,3.00,,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,44007,Region 1,Jack Reed,Sheldon Whitehouse,David N. Cicilline,No,No,No,-71.41597825,41.84031345
DIALYSIS CENTER OF TIVERTON,End Stage Renal Disease Facility,End Stage Renal Disease  ,Newport County,RI,412508,22 Hurst Ln,Tiverton,02878-2312,401-624-4403,,,,,,1,,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,44005,Region 1,Jack Reed,Sheldon Whitehouse,David N. Cicilline,No,No,No,-71.15258859,41.66196747
DIALYSIS CENTER OF WAKEFIELD LLC,End Stage Renal Disease Facility,End Stage Renal Disease  ,Washington County,RI,412507,10 High St,Wakefield,02879-3176,401-792-3450,,,,,,6,,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,44009,Region 1,Jack Reed,Sheldon Whitehouse,Seth Magaziner,No,No,No,-71.50203751,41.43736419
DIALYSIS CENTER OF WEST WARWICK LLC,End Stage Renal Disease Facility,End Stage Renal Disease  ,Kent County,RI,412504,1775 Bald Hill Rd,Warwick,02886-4231,401-823-8420,,,,,,1,,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,44003,Region 1,Jack Reed,Sheldon Whitehouse,Seth Magaziner,No,No,No,-71.4989259,41.6938617
DIALYSIS CENTER OF WESTERLY LLC,End Stage Renal Disease Facility,End Stage Renal Disease  ,Washington County,RI,412502,1 Rhody Dr,Westerly,02891-2920,401-596-0368,,,,,,0.88,,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,44009,Region 1,Jack Reed,Sheldon Whitehouse,Seth Magaziner,No,No,No,-71.82368743,41.36148223
DIALYSIS CENTER OF WOONSOCKET LLC,End Stage Renal Disease Facility,End Stage Renal Disease  ,Providence County,RI,412503,2100 Diamond Hill Rd,Woonsocket,02895-1544,401-765-4995,,,,,,1,,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,44007,Region 1,Jack Reed,Sheldon Whitehouse,David N. Cicilline,No,No,No,-71.46761153,42.01474312
DEPENDABLE HEALTHCARE SERVICES LLC,Home Health Agency,Home Health Agency,Washington County,RI,417065,1171 Main St STE C,Wyoming,02898-1074,401-491-9003,,,,,,1.5,,,,,,,,Not Applicable,Not Applicable,Other,Not Applicable,Not Applicable,44009,Region 1,Jack Reed,Sheldon Whitehouse,Seth Magaziner,No,No,No,-71.69894518,41.51442837
MORGAN HEALTH CENTER,Skilled Nursing Facilities/Nursing Facility (Dually Certified),Title 18/19,Providence County,RI,415062,80 Morgan Ave,Johnston,02919-6725,401-944-7800,,,,,,,120.00,120.00,0.00,120.00,0.00,,,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,44007,Region 1,Jack Reed,Sheldon Whitehouse,Seth Magaziner,No,No,No,-71.47503085,41.8023656
MOUNT ST RITA HEALTH CENTRE,Skilled Nursing Facilities/Nursing Facility (Dually Certified),Title 18/19,Providence County,RI,415085,15 Sumner Brown Rd,Cumberland,02864-1214,401-333-6352,,,,,,,98.00,98.00,0.00,98.00,0.00,,,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,44007,Region 1,Jack Reed,Sheldon Whitehouse,David N. Cicilline,No,No,No,-71.41106101,42.01194
"ELMWOOD HOME CARE, INC",Home Health Agency,Home Health Agency,Providence County,RI,417070,120 Dudley St STE 201,Providence,02905-2431,401-941-1347,,,,,,0,,,,,,,,Not Applicable,Not Applicable,Official Health Agency,Not Applicable,Not Applicable,44007,Region 1,Jack Reed,Sheldon Whitehouse,Seth Magaziner,No,No,No,-71.41236029,41.81007649
