Nombre,Grado,Grado Dos,Especialidad,Hospital,Dirección,Número de,Ciudad,Estado,Código Postal,Ubicación,Nombre y Experto,Experto en
Rebecca H. Allen,M.D.,,Obstetricia y Ginecología,Affinity Physicians-101 Dudley,101 Dudley St,,Providence,                  RI,02905,"Affinity Physicians-101 Dudley,
                  101 Dudley St,
                  
                  Providence,
                  RI,
                  02905","Rebecca H. Allen, M.D. - Obstetricia y Ginecología",Experto en: Especialista
Rebecca H. Allen,M.D.,,Obstetricia y Ginecología,Planned Parenthood-Providence,175 Broad St,,Providence,                  RI,02903,"Planned Parenthood-Providence,
                  175 Broad St,
                  
                  Providence,
                  RI,
                  02903","Rebecca H. Allen, M.D. - Obstetricia y Ginecología",Experto en: Especialista
Kristin L. Anderson,M.D.,,Pediatría,RIH Pediatrics - 593 Eddy St,593 Eddy St,,Providence,                  RI,02903,"RIH Pediatrics - 593 Eddy St,
                  593 Eddy St,
                  
                  Providence,
                  RI,
                  02903","Kristin L. Anderson, M.D. - Pediatría",Experto en: Proveedor de Atención Primaria
Cinda L. Anderson,O.D.,,Optometría,Cinda L Anderson OD,33 Kent St,Ste C,Barrington,                  RI,02806,"Cinda L Anderson OD,
                  33 Kent St,
                  Ste C,
                  Barrington,
                  RI,
                  02806","Cinda L. Anderson, O.D. - Optometría",Experto en: Especialista
Timothy  Arcand,D.C.,,Quiropráctico,Milton Chiropractic and Rehabilitation - Raynham,1250 New State Hwy,,Raynham,                  MA,02767,"Milton Chiropractic and Rehabilitation - Raynham,
                  1250 New State Hwy,
                  
                  Raynham,
                  MA,
                  02767","Timothy  Arcand, D.C. - Quiropráctico",Experto en: Especialista
Sandeep  Arepally,M.D.,,Enfermedad Pulmonar,"Brown Medicine Pulmonary, Critical Care & Sleep Medicine-RIH",593 Eddy St,,Providence,                  RI,02903,"Brown Medicine Pulmonary, Critical Care & Sleep Medicine-RIH,
                  593 Eddy St,
                  
                  Providence,
                  RI,
                  02903","Sandeep  Arepally, M.D. - Enfermedad Pulmonar",Experto en: Especialista
Sandeep  Arepally,M.D.,,Enfermedad Pulmonar,LPG Cardiology-11 Friendship,11 Friendship St,,Newport,                  RI,02840,"LPG Cardiology-11 Friendship,
                  11 Friendship St,
                  
                  Newport,
                  RI,
                  02840","Sandeep  Arepally, M.D. - Enfermedad Pulmonar",Experto en: Especialista
Sandeep  Arepally,M.D.,,Enfermedad Pulmonar,PHS Landmark Health Services - Woonsocket,115 Cass Ave,,Woonsocket,                  RI,02895,"PHS Landmark Health Services - Woonsocket,
                  115 Cass Ave,
                  
                  Woonsocket,
                  RI,
                  02895","Sandeep  Arepally, M.D. - Enfermedad Pulmonar",Experto en: Especialista
Sandeep  Arepally,M.D.,,Enfermedad Pulmonar,Pulmonary Sleep Lab,375 Wampanoag Trl,,Riverside,                  RI,02915,"Pulmonary Sleep Lab,
                  375 Wampanoag Trl,
                  
                  Riverside,
                  RI,
                  02915","Sandeep  Arepally, M.D. - Enfermedad Pulmonar",Experto en: Especialista
Sandeep  Arepally,M.D.,,Enfermedad Pulmonar,RIH Multi-Specialty - Dudley St,2 Dudley St,Co-Op 1,Providence,                  RI,02905,"RIH Multi-Specialty - Dudley St,
                  2 Dudley St,
                  Co-Op 1,
                  Providence,
                  RI,
                  02905","Sandeep  Arepally, M.D. - Enfermedad Pulmonar",Experto en: Especialista
Sandeep  Arepally,M.D.,,Enfermedad Pulmonar,The Miriam Hospital - ICU,164 Summit Ave,,Providence,                  RI,02906,"The Miriam Hospital - ICU,
                  164 Summit Ave,
                  
                  Providence,
                  RI,
                  02906","Sandeep  Arepally, M.D. - Enfermedad Pulmonar",Experto en: Especialista
Monserrat  Arias,O.D.,,Optometría,Advanced Eye Care Associates,780 N Main St,,Providence,                  RI,02904,"Advanced Eye Care Associates,
                  780 N Main St,
                  
                  Providence,
                  RI,
                  02904","Monserrat  Arias, O.D. - Optometría",Experto en: Especialista
Monserrat  Arias,O.D.,,Optometría,Bristol County Eye Care LLC,1180 Hope St,,Bristol,                  RI,02809,"Bristol County Eye Care LLC,
                  1180 Hope St,
                  
                  Bristol,
                  RI,
                  02809","Monserrat  Arias, O.D. - Optometría",Experto en: Especialista
Julie  Armada,M.D.,,Radiología Diagnóstica,Medical Associates of RI,1180 Hope St,,Bristol,                  RI,02809,"Medical Associates of RI,
                  1180 Hope St,
                  
                  Bristol,
                  RI,
                  02809","Julie  Armada, M.D. - Radiología Diagnóstica",Experto en: Especialista
Julie  Armada,M.D.,,Radiología Diagnóstica,Prima Care PC Radiology,289 Pleasant St,Ste 101,Fall River,                  MA,02721,"Prima Care PC Radiology,
                  289 Pleasant St,
                  Ste 101,
                  Fall River,
                  MA,
                  02721","Julie  Armada, M.D. - Radiología Diagnóstica",Experto en: Especialista
Julie  Armada,M.D.,,Radiología Diagnóstica,Toll Gate Radiology II LLC,300 Toll Gate Rd,,Warwick,                  RI,02886,"Toll Gate Radiology II LLC,
                  300 Toll Gate Rd,
                  
                  Warwick,
                  RI,
                  02886","Julie  Armada, M.D. - Radiología Diagnóstica",Experto en: Especialista
Julie  Armada,M.D.,,Radiología Diagnóstica,Toll Gate Radiology II LLC-Cumberland,106 Nate Whipple Hwy,,Cumberland,                  RI,02864,"Toll Gate Radiology II LLC-Cumberland,
                  106 Nate Whipple Hwy,
                  
                  Cumberland,
                  RI,
                  02864","Julie  Armada, M.D. - Radiología Diagnóstica",Experto en: Especialista
Julie  Armada,M.D.,,Radiología Diagnóstica,Toll Gate Radiology II LLC-Fall River,1151 Robeson St,,Fall River,                  MA,02720,"Toll Gate Radiology II LLC-Fall River,
                  1151 Robeson St,
                  
                  Fall River,
                  MA,
                  02720","Julie  Armada, M.D. - Radiología Diagnóstica",Experto en: Especialista
Julie  Armada,M.D.,,Radiología Diagnóstica,Toll Gate Radiology-Warwick Ave,1050 Warwick Ave,,Warwick,                  RI,02888,"Toll Gate Radiology-Warwick Ave,
                  1050 Warwick Ave,
                  
                  Warwick,
                  RI,
                  02888","Julie  Armada, M.D. - Radiología Diagnóstica",Experto en: Especialista
Diana  Arredondo,O.D.,,Optometría,Providence Community Health Center Optometry,335 Prairie Ave,Fl 2,Providence,                  RI,02905,"Providence Community Health Center Optometry,
                  335 Prairie Ave,
                  Fl 2,
                  Providence,
                  RI,
                  02905","Diana  Arredondo, O.D. - Optometría",Experto en: Especialista
David W. Ashley,M.D.,,Medicina Familiar,Affinity Phy-Blackstone Blvd,345 Blackstone Blvd,,Providence,                  RI,02906,"Affinity Phy-Blackstone Blvd,
                  345 Blackstone Blvd,
                  
                  Providence,
                  RI,
                  02906","David W. Ashley, M.D. - Medicina Familiar",Experto en: Proveedor de Atención Primaria
David W. Ashley,M.D.,,Medicina Familiar,Affinity Physicians - Pawtucket,111 Brewster St,,Pawtucket,                  RI,02860,"Affinity Physicians - Pawtucket,
                  111 Brewster St,
                  
                  Pawtucket,
                  RI,
                  02860","David W. Ashley, M.D. - Medicina Familiar",Experto en: Proveedor de Atención Primaria
Jacayia J. Austin Cuartas,O.T.,,Acupunturista,Meeting St Early Intervention,1000 Eddy St,,Providence,                  RI,02905,"Meeting St Early Intervention,
                  1000 Eddy St,
                  
                  Providence,
                  RI,
                  02905","Jacayia J. Austin Cuartas, O.T. - Acupunturista",Experto en: Especialista
Stephanie J. Avila,N.P.,C.N.M.,Partera de Práctica Avanzada,St. Joseph Health Center - Pawtucket,249 Roosevelt Ave,,Pawtucket,                  RI,02860,"St. Joseph Health Center - Pawtucket,
                  249 Roosevelt Ave,
                  
                  Pawtucket,
                  RI,
                  02860","Stephanie J. Avila, N.P., C.N.M. - Partera de Práctica Avanzada",Experto en: Especialista
Stephanie J. Avila,N.P.,C.N.M.,Partera de Práctica Avanzada,St. Joseph Health Center - Providence,877 Chalkstone Ave,,Providence,                  RI,02908,"St. Joseph Health Center - Providence,
                  877 Chalkstone Ave,
                  
                  Providence,
                  RI,
                  02908","Stephanie J. Avila, N.P., C.N.M. - Partera de Práctica Avanzada",Experto en: Especialista
Stephanie J. Avila,N.P.,C.N.M.,Medicina Familiar,Capitol Hill Health Center,40 Candace St,,Providence,                  RI,02908,"Capitol Hill Health Center,
                  40 Candace St,
                  
                  Providence,
                  RI,
                  02908","Stephanie J. Avila, N.P., C.N.M. - Medicina Familiar",Experto en: Proveedor de Atención Primaria
Stephanie J. Avila,N.P.,C.N.M.,Medicina Familiar,Chafee Health Center,1 Warren Way,,Providence,                  RI,02905,"Chafee Health Center,
                  1 Warren Way,
                  
                  Providence,
                  RI,
                  02905","Stephanie J. Avila, N.P., C.N.M. - Medicina Familiar",Experto en: Proveedor de Atención Primaria
Stephanie J. Avila,N.P.,C.N.M.,Medicina Familiar,Crossroads Health Center,160 Broad St,,Providence,                  RI,02903,"Crossroads Health Center,
                  160 Broad St,
                  
                  Providence,
                  RI,
                  02903","Stephanie J. Avila, N.P., C.N.M. - Medicina Familiar",Experto en: Proveedor de Atención Primaria
Stephanie J. Avila,N.P.,C.N.M.,Medicina Familiar,Olneyville Health Center,100 Curtis St,,Providence,                  RI,02909,"Olneyville Health Center,
                  100 Curtis St,
                  
                  Providence,
                  RI,
                  02909","Stephanie J. Avila, N.P., C.N.M. - Medicina Familiar",Experto en: Proveedor de Atención Primaria
Stephanie J. Avila,N.P.,C.N.M.,Medicina Familiar,PCHC at Prairie Avenue,355 Prairie Ave,,Providence,                  RI,02905,"PCHC at Prairie Avenue,
                  355 Prairie Ave,
                  
                  Providence,
                  RI,
                  02905","Stephanie J. Avila, N.P., C.N.M. - Medicina Familiar",Experto en: Proveedor de Atención Primaria
Stephanie J. Avila,N.P.,C.N.M.,Medicina Familiar,Providence Center- N Main,530 N Main St,,Providence,                  RI,02904,"Providence Center- N Main,
                  530 N Main St,
                  
                  Providence,
                  RI,
                  02904","Stephanie J. Avila, N.P., C.N.M. - Medicina Familiar",Experto en: Proveedor de Atención Primaria
Stephanie J. Avila,N.P.,C.N.M.,Partería,Central Health Center,239 Cranston St,,Providence,                  RI,02907,"Central Health Center,
                  239 Cranston St,
                  
                  Providence,
                  RI,
                  02907","Stephanie J. Avila, N.P., C.N.M. - Partería",Experto en: Especialista
Munawar  Azam,M.D.,,Medicina Interna,Munawar Azam MD,1407 S County Trl,Ste 422,East Greenwich,                  RI,02818,"Munawar Azam MD,
                  1407 S County Trl,
                  Ste 422,
                  East Greenwich,
                  RI,
                  02818","Munawar  Azam, M.D. - Medicina Interna",Experto en: Proveedor de Atención Primaria
Michael  Baaklini,M.D.,,Enfermedad Pulmonar,Cedarz Medical and Cosmedics,812 Metacom Ave,,Bristol,                  RI,02809,"Cedarz Medical and Cosmedics,
                  812 Metacom Ave,
                  
                  Bristol,
                  RI,
                  02809","Michael  Baaklini, M.D. - Enfermedad Pulmonar",Experto en: Especialista
Michael  Baaklini,M.D.,,Enfermedad Pulmonar,TMH Multi Specialty Clinical Providers,164 Summit Ave,,Providence,                  RI,02906,"TMH Multi Specialty Clinical Providers,
                  164 Summit Ave,
                  
                  Providence,
                  RI,
                  02906","Michael  Baaklini, M.D. - Enfermedad Pulmonar",Experto en: Especialista
Mirza  Baig,M.D.,,Medicina Interna,Southcoast Physicians Group-Fairhaven,200 Mill Rd,Ste 180,Fairhaven,                  MA,02719,"Southcoast Physicians Group-Fairhaven,
                  200 Mill Rd,
                  Ste 180,
                  Fairhaven,
                  MA,
                  02719","Mirza  Baig, M.D. - Medicina Interna",Experto en: Especialista
Piamarie  Ballarin-Feldman,M.D.,,Medicina Familiar,Jamestown Family Practice,20 Southwest Ave,,Jamestown,                  RI,02835,"Jamestown Family Practice,
                  20 Southwest Ave,
                  
                  Jamestown,
                  RI,
                  02835","Piamarie  Ballarin-Feldman, M.D. - Medicina Familiar",Experto en: Proveedor de Atención Primaria
Piamarie  Ballarin-Feldman,M.D.,,Medicina Familiar,Lifespan Physician Group - Primary Care,50 Memorial Blvd,,Newport,                  RI,02840,"Lifespan Physician Group - Primary Care,
                  50 Memorial Blvd,
                  
                  Newport,
                  RI,
                  02840","Piamarie  Ballarin-Feldman, M.D. - Medicina Familiar",Experto en: Proveedor de Atención Primaria
Piamarie  Ballarin-Feldman,M.D.,,Medicina Familiar,Lifespan Physician Group Primary Care-Portsmouth,77 Turnpike Ave,,Portsmouth,                  RI,02871,"Lifespan Physician Group Primary Care-Portsmouth,
                  77 Turnpike Ave,
                  
                  Portsmouth,
                  RI,
                  02871","Piamarie  Ballarin-Feldman, M.D. - Medicina Familiar",Experto en: Proveedor de Atención Primaria
Piamarie  Ballarin-Feldman,M.D.,,Medicina Familiar,LPG-Tiverton,711 Main Rd,,Tiverton,                  RI,02878,"LPG-Tiverton,
                  711 Main Rd,
                  
                  Tiverton,
                  RI,
                  02878","Piamarie  Ballarin-Feldman, M.D. - Medicina Familiar",Experto en: Proveedor de Atención Primaria
Antonio  Barajas,M.D.,,Medicina Interna,Emergency Associates of Woonsocket,115 Cass Ave,,Woonsocket,                  RI,02895,"Emergency Associates of Woonsocket,
                  115 Cass Ave,
                  
                  Woonsocket,
                  RI,
                  02895","Antonio  Barajas, M.D. - Medicina Interna",Experto en: Proveedor de Atención Primaria
Antonio  Barajas,M.D.,,Medicina Interna,Landmark Medical Center - Acute,115 Cass Ave,,Woonsocket,                  RI,02895,"Landmark Medical Center - Acute,
                  115 Cass Ave,
                  
                  Woonsocket,
                  RI,
                  02895","Antonio  Barajas, M.D. - Medicina Interna",Experto en: Proveedor de Atención Primaria
Antonio  Barajas,M.D.,,Medicina Interna,Physicians at Landmark LLC,115 Cass Ave,,Woonsocket,                  RI,02895,"Physicians at Landmark LLC,
                  115 Cass Ave,
                  
                  Woonsocket,
                  RI,
                  02895","Antonio  Barajas, M.D. - Medicina Interna",Experto en: Proveedor de Atención Primaria
Antonio  Barajas,M.D.,,Medicina Interna,Roger William Medical Center-ER,825 Chalkstone Ave,,Providence,                  RI,02908,"Roger William Medical Center-ER,
                  825 Chalkstone Ave,
                  
                  Providence,
                  RI,
                  02908","Antonio  Barajas, M.D. - Medicina Interna",Experto en: Proveedor de Atención Primaria
Ana S. Barber De Brito,C.N.M.,,Partera de Práctica Avanzada,Affinity Physicians-101 Dudley,101 Dudley St,,Providence,                  RI,02905,"Affinity Physicians-101 Dudley,
                  101 Dudley St,
                  
                  Providence,
                  RI,
                  02905","Ana S. Barber De Brito, C.N.M. - Partera de Práctica Avanzada",Experto en: Especialista
Ana S. Barber De Brito,C.N.M.,,Partera de Práctica Avanzada,Planned Parenthood-Providence,175 Broad St,,Providence,                  RI,02903,"Planned Parenthood-Providence,
                  175 Broad St,
                  
                  Providence,
                  RI,
                  02903","Ana S. Barber De Brito, C.N.M. - Partera de Práctica Avanzada",Experto en: Especialista
Devon C. Barley,D.C.,,Quiropráctico,Greenwich Bay Chiropractic LLC,16 Main St,Ste 100,East Greenwich,                  RI,02818,"Greenwich Bay Chiropractic LLC,
                  16 Main St,
                  Ste 100,
                  East Greenwich,
                  RI,
                  02818","Devon C. Barley, D.C. - Quiropráctico",Experto en: Especialista
Michele  Bauer ,,,Partera de Práctica Avanzada,"Jenks Park Pediatrics, Inc.",577 Broad St,Fl 1,Central Falls,                  RI,02863,"Jenks Park Pediatrics, Inc.,
                  577 Broad St,
                  Fl 1,
                  Central Falls,
                  RI,
                  02863",Michele  Bauer - Partera de Práctica Avanzada,Experto en: Especialista
John C. Beauchamp,M.D.,,Medicina Interna,SCMG Primary Care Westerly,268 Post Rd,Ste 203,Westerly,                  RI,02891,"SCMG Primary Care Westerly,
                  268 Post Rd,
                  Ste 203,
                  Westerly,
                  RI,
                  02891","John C. Beauchamp, M.D. - Medicina Interna",Experto en: Proveedor de Atención Primaria
Ursulina L. Bencosme,M.D.,,Pediatría,Capitol Hill Health Center,40 Candace St,,Providence,                  RI,02908,"Capitol Hill Health Center,
                  40 Candace St,
                  
                  Providence,
                  RI,
                  02908","Ursulina L. Bencosme, M.D. - Pediatría",Experto en: Proveedor de Atención Primaria
Ursulina L. Bencosme,M.D.,,Pediatría,Central Health Center,239 Cranston St,,Providence,                  RI,02907,"Central Health Center,
                  239 Cranston St,
                  
                  Providence,
                  RI,
                  02907","Ursulina L. Bencosme, M.D. - Pediatría",Experto en: Proveedor de Atención Primaria
Ursulina L. Bencosme,M.D.,,Pediatría,Chafee Health Center,1 Warren Way,,Providence,                  RI,02905,"Chafee Health Center,
                  1 Warren Way,
                  
                  Providence,
                  RI,
                  02905","Ursulina L. Bencosme, M.D. - Pediatría",Experto en: Proveedor de Atención Primaria
Ursulina L. Bencosme,M.D.,,Pediatría,Crossroads Health Center,160 Broad St,,Providence,                  RI,02903,"Crossroads Health Center,
                  160 Broad St,
                  
                  Providence,
                  RI,
                  02903","Ursulina L. Bencosme, M.D. - Pediatría",Experto en: Proveedor de Atención Primaria
Ursulina L. Bencosme,M.D.,,Pediatría,Olneyville Health Center,100 Curtis St,,Providence,                  RI,02909,"Olneyville Health Center,
                  100 Curtis St,
                  
                  Providence,
                  RI,
                  02909","Ursulina L. Bencosme, M.D. - Pediatría",Experto en: Proveedor de Atención Primaria
Ursulina L. Bencosme,M.D.,,Pediatría,PCHC at Prairie Avenue,355 Prairie Ave,,Providence,                  RI,02905,"PCHC at Prairie Avenue,
                  355 Prairie Ave,
                  
                  Providence,
                  RI,
                  02905","Ursulina L. Bencosme, M.D. - Pediatría",Experto en: Proveedor de Atención Primaria
Ursulina L. Bencosme,M.D.,,Pediatría,PCHC at Randall Square,1 Randall Sq,,Providence,                  RI,02904,"PCHC at Randall Square,
                  1 Randall Sq,
                  
                  Providence,
                  RI,
                  02904","Ursulina L. Bencosme, M.D. - Pediatría",Experto en: Proveedor de Atención Primaria
Ursulina L. Bencosme,M.D.,,Pediatría,Providence Center- N Main,530 N Main St,,Providence,                  RI,02904,"Providence Center- N Main,
                  530 N Main St,
                  
                  Providence,
                  RI,
                  02904","Ursulina L. Bencosme, M.D. - Pediatría",Experto en: Proveedor de Atención Primaria
Christina M. Benevides,O.D.,,Optometría,Eye Health Associates-Dartmouth,51 State Rd,,Dartmouth,                  MA,02747,"Eye Health Associates-Dartmouth,
                  51 State Rd,
                  
                  Dartmouth,
                  MA,
                  02747","Christina M. Benevides, O.D. - Optometría",Experto en: Especialista
Christina M. Benevides,O.D.,,Optometría,Eye Health Associates-Fairhaven,70 Huttleston Ave,,Fairhaven,                  MA,02719,"Eye Health Associates-Fairhaven,
                  70 Huttleston Ave,
                  
                  Fairhaven,
                  MA,
                  02719","Christina M. Benevides, O.D. - Optometría",Experto en: Especialista
Christina M. Benevides,O.D.,,Optometría,Eye Health Associates-Fall River,933 Pleasant St,,Fall River,                  MA,02723,"Eye Health Associates-Fall River,
                  933 Pleasant St,
                  
                  Fall River,
                  MA,
                  02723","Christina M. Benevides, O.D. - Optometría",Experto en: Especialista
Christina M. Benevides,O.D.,,Optometría,Eye Health Associates-Taunton,64 Winthrop St,,Taunton,                  MA,02780,"Eye Health Associates-Taunton,
                  64 Winthrop St,
                  
                  Taunton,
                  MA,
                  02780","Christina M. Benevides, O.D. - Optometría",Experto en: Especialista
Christina M. Benevides,O.D.,,Optometría,Eye Health Vision Ctr of RI-Fall River,933 Pleasant St,,Fall River,                  MA,02723,"Eye Health Vision Ctr of RI-Fall River,
                  933 Pleasant St,
                  
                  Fall River,
                  MA,
                  02723","Christina M. Benevides, O.D. - Optometría",Experto en: Especialista
Christina M. Benevides,O.D.,,Optometría,Eye Health Vision Ctr of RI-N.Dartmouth,51 State Rd,,North Dartmouth,                  MA,02747,"Eye Health Vision Ctr of RI-N.Dartmouth,
                  51 State Rd,
                  
                  North Dartmouth,
                  MA,
                  02747","Christina M. Benevides, O.D. - Optometría",Experto en: Especialista
Christina M. Benevides,O.D.,,Optometría,Eye Health Vision Ctr of RI-Taunton,64 Winthrop St,,Taunton,                  MA,02780,"Eye Health Vision Ctr of RI-Taunton,
                  64 Winthrop St,
                  
                  Taunton,
                  MA,
                  02780","Christina M. Benevides, O.D. - Optometría",Experto en: Especialista
Eric N. Berard,D.O.,,Pediatría,Full Circle Primary Care,206 Cass Ave,,Woonsocket,                  RI,02895,"Full Circle Primary Care,
                  206 Cass Ave,
                  
                  Woonsocket,
                  RI,
                  02895","Eric N. Berard, D.O. - Pediatría",Experto en: Proveedor de Atención Primaria
Mirelis  Betances,L.D.N.,,Nutricionista,"Evolution Nutrition, Inc. - E Prov.",450 Veterans Memorial Pkwy,Bldg 8C,East Providence,                  RI,02914,"Evolution Nutrition, Inc. - E Prov.,
                  450 Veterans Memorial Pkwy,
                  Bldg 8C,
                  East Providence,
                  RI,
                  02914","Mirelis  Betances, L.D.N. - Nutricionista",Experto en: Especialista
Michael A. Bharier,M.D.,,Dermatología,Coastal Derm & Cosmetic Center - Reservoir Ave,750 Reservoir Ave,,Cranston,                  RI,02910,"Coastal Derm & Cosmetic Center - Reservoir Ave,
                  750 Reservoir Ave,
                  
                  Cranston,
                  RI,
                  02910","Michael A. Bharier, M.D. - Dermatología",Experto en: Especialista
Michael A. Bharier,M.D.,,Dermatología,Ellen Frankel MD,750 Reservoir Ave,,Cranston,                  RI,02910,"Ellen Frankel MD,
                  750 Reservoir Ave,
                  
                  Cranston,
                  RI,
                  02910","Michael A. Bharier, M.D. - Dermatología",Experto en: Especialista
Ariel E. Birnbaum,M.D.,,Hematología y Oncología,RIH Lifespan Cancer Institute - Eddy St,593 Eddy St,,Providence,                  RI,02903,"RIH Lifespan Cancer Institute - Eddy St,
                  593 Eddy St,
                  
                  Providence,
                  RI,
                  02903","Ariel E. Birnbaum, M.D. - Hematología y Oncología",Experto en: Especialista
Ariel E. Birnbaum,M.D.,,Hematología y Oncología,RIH Lifespan Cancer Institute - Lincoln,701 George Washington Hwy,Ste 101,Lincoln,                  RI,02865,"RIH Lifespan Cancer Institute - Lincoln,
                  701 George Washington Hwy,
                  Ste 101,
                  Lincoln,
                  RI,
                  02865","Ariel E. Birnbaum, M.D. - Hematología y Oncología",Experto en: Especialista
Ariel E. Birnbaum,M.D.,,Hematología y Oncología,RIH Lifespan Cancer Institute - Miriam Hospital,164 Summit Ave,,Providence,                  RI,02906,"RIH Lifespan Cancer Institute - Miriam Hospital,
                  164 Summit Ave,
                  
                  Providence,
                  RI,
                  02906","Ariel E. Birnbaum, M.D. - Hematología y Oncología",Experto en: Especialista
Ariel E. Birnbaum,M.D.,,Hematología y Oncología,RIH Lifespan Cancer Institute - Newport Hospital,11 Friendship St, Turner Building,Newport,                  RI,02840,"RIH Lifespan Cancer Institute - Newport Hospital,
                  11 Friendship St,
                  Ste 1, Turner Building,
                  Newport,
                  RI,
                  02840","Ariel E. Birnbaum, M.D. - Hematología y Oncología",Experto en: Especialista
Ariel E. Birnbaum,M.D.,,Hematología y Oncología,RIH Lifespan Cancer Institute - Suite 2200,1454 S County Trl,Ste 2200,East Greenwich,                  RI,02818,"RIH Lifespan Cancer Institute - Suite 2200,
                  1454 S County Trl,
                  Ste 2200,
                  East Greenwich,
                  RI,
                  02818","Ariel E. Birnbaum, M.D. - Hematología y Oncología",Experto en: Especialista
Carolyn R. Blackman,M.D.,,Medicina Interna,"GPS Physician Group, PC-Coventry",10 Woodland Dr,,Coventry,                  RI,02816,"GPS Physician Group, PC-Coventry,
                  10 Woodland Dr,
                  
                  Coventry,
                  RI,
                  02816","Carolyn R. Blackman, M.D. - Medicina Interna",Experto en: Proveedor de Atención Primaria
Carolyn R. Blackman,M.D.,,Medicina Interna,Affinity Physicians,455 Toll Gate Rd,,Warwick,                  RI,02886,"Affinity Physicians,
                  455 Toll Gate Rd,
                  
                  Warwick,
                  RI,
                  02886","Carolyn R. Blackman, M.D. - Medicina Interna",Experto en: Proveedor de Atención Primaria
Carolyn R. Blackman,M.D.,,Medicina Interna,Care New England Primary Care,455 Toll Gate Rd,,Warwick,                  RI,02886,"Care New England Primary Care,
                  455 Toll Gate Rd,
                  
                  Warwick,
                  RI,
                  02886","Carolyn R. Blackman, M.D. - Medicina Interna",Experto en: Proveedor de Atención Primaria
